[2023-10-20 12:16:07,996: INFO: main: Welcome to our Custom log]
[2023-10-20 16:06:28,369: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2023-10-20 16:06:28,370: INFO: common: yaml file: D:\NephroAIClassifier\config\config.yaml loaded successfully]
[2023-10-20 16:06:28,370: INFO: common: yaml file: D:\NephroAIClassifier\params.yaml loaded successfully]
[2023-10-20 16:06:28,370: INFO: common: created directory at: artifacts]
[2023-10-20 16:06:28,370: INFO: common: created directory at: artifacts/data_ingestion]
[2023-10-20 16:06:28,370: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-20 16:06:42,949: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-20 16:06:43,937: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2023-10-20 16:59:58,302: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-20 16:59:58,304: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-20 16:59:58,305: INFO: common: created directory at: artifacts]
[2023-10-20 16:59:58,306: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-10-20 17:11:48,625: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-20 17:11:48,626: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-20 17:11:48,627: INFO: common: created directory at: artifacts]
[2023-10-20 17:11:48,629: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-10-20 17:11:52,506: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-20 17:11:52,507: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-20 17:11:52,508: INFO: common: created directory at: artifacts]
[2023-10-20 17:11:52,510: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-10-20 18:18:44,605: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2023-10-20 18:18:44,609: INFO: common: yaml file: D:\NephroAIClassifier\config\config.yaml loaded successfully]
[2023-10-20 18:18:44,609: INFO: common: yaml file: D:\NephroAIClassifier\params.yaml loaded successfully]
[2023-10-20 18:18:44,609: INFO: common: created directory at: artifacts]
[2023-10-20 18:18:44,609: INFO: common: created directory at: artifacts/data_ingestion]
